Run,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,Lift,Drag,dlift01,dlift02,dlift03,dlift04,dlift05,dlift06,dlift07,dlift08,dlift09,dlift10,dlift11,dlift12,dlift13,dlift14,dlift15,dlift16,dlift17,dlift18,ddrag01,ddrag02,ddrag03,ddrag04,ddrag05,ddrag06,ddrag07,ddrag08,ddrag09,ddrag10,ddrag11,ddrag12,ddrag13,ddrag14,ddrag15,ddrag16,ddrag17,ddrag18
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2694041950000002e-01,2.1350118299999998e-02,-3.0113200000000000e+00,-4.4275399999999996e+00,-5.3679399999999999e+00,-5.9123200000000002e+00,-6.2294999999999998e+00,-6.6104000000000003e+00,-7.4441600000000001e+00,-9.0383800000000001e+00,-1.1837400000000001e+01,4.3762499999999998e+00,3.3914599999999999e+00,2.0326900000000001e+00,2.2204799999999998e+00,4.8715099999999998e+00,9.4528499999999998e+00,1.2551000000000000e+01,9.9561600000000006e+00,9.3574699999999993e+00,5.3700500000000003e-03,-1.6561300000000000e-03,-5.2710600000000003e-02,-1.4514900000000000e-01,-2.4018700000000001e-01,-2.9704000000000003e-01,-3.3920899999999998e-01,-4.2019099999999998e-01,-5.7279000000000002e-01,1.1303300000000001e+00,1.6323900000000000e+00,1.3289500000000001e+00,6.4637999999999995e-01,3.8466899999999998e-02,-2.4721299999999999e-01,-1.4989900000000000e-01,2.0107600000000000e-01,4.5969100000000002e-01
2.0000000000000000e+00,-7.5142343176940862e-03,-2.4016585715071030e-03,5.0613249737921379e-03,-6.7849907919793496e-03,2.8825687790744407e-03,5.7623534683418094e-03,2.9099861932695408e-03,-8.7969993255724386e-03,-7.3182385047549465e-03,1.0258590444486987e-03,-5.2221394905631411e-03,1.5135617138565174e-03,4.7401242079089956e-03,-6.9748699951996222e-04,-6.6308873991300071e-03,9.3816252813653366e-03,2.4733820653283847e-03,9.5051600498656328e-03,6.8229188750000003e-01,3.2110536199999998e-02,-2.5741299999999998e+00,-4.1225600000000000e+00,-5.6556800000000003e+00,-7.2144000000000004e+00,-8.7327600000000007e+00,-9.9953299999999992e+00,-1.0703500000000000e+01,-1.1085400000000000e+01,-1.3994100000000000e+01,6.6815800000000003e+00,6.9981099999999996e+00,4.8987499999999997e+00,2.7916699999999999e+00,2.3222700000000001e+00,4.7441100000000000e+00,1.2479500000000000e+01,2.7159800000000001e+01,2.0650200000000002e+01,-4.5640399999999998e-02,-1.1392900000000000e-01,-2.0123700000000000e-01,-2.9864000000000002e-01,-3.9946999999999999e-01,-4.9221799999999999e-01,-5.6183899999999998e-01,-6.1845700000000003e-01,-8.2085600000000003e-01,1.3244100000000001e+00,2.0428400000000000e+00,1.7916200000000000e+00,1.0899399999999999e+00,4.3317499999999998e-01,6.7013100000000006e-02,8.9593199999999998e-02,6.1902999999999997e-01,9.6529799999999999e-01
3.0000000000000000e+00,-2.9355007345432402e-03,5.7300612376812530e-03,2.1665076753657562e-03,-7.7518143395002908e-03,-7.1818703336009055e-03,-3.1409635900966184e-03,6.2526307598286170e-03,8.2300442300360498e-03,-1.7954196685795905e-03,-4.8435543637288100e-03,6.0041863264841105e-03,6.8215430684293640e-03,-6.8252060970778218e-03,-7.3808107290671372e-03,5.5709324241699412e-03,9.8632869274354069e-03,-3.6509195973189294e-03,-4.0727164209819347e-03,3.6670336570000001e-01,2.5494594400000001e-02,-6.0275199999999995e-01,-4.9864300000000000e-01,-1.8580500000000000e+00,-4.0209500000000000e+00,-5.6627200000000002e+00,-6.6078400000000004e+00,-8.1383600000000005e+00,-1.0243300000000000e+01,-1.0325900000000001e+01,4.7902699999999996e+00,4.2054200000000002e+00,2.6516400000000000e+00,1.9518500000000001e+00,2.9618199999999999e+00,5.7633200000000002e+00,9.6156900000000007e+00,1.0305999999999999e+01,7.7379600000000002e+00,5.0406799999999996e-01,6.4951499999999995e-01,3.6036299999999999e-01,-1.0807000000000000e-01,-3.9728900000000000e-01,-4.1762899999999997e-01,-3.9438099999999998e-01,-4.4428899999999999e-01,-4.8058699999999999e-01,1.2934900000000000e+00,1.7925899999999999e+00,1.4358800000000000e+00,6.6168400000000005e-01,-4.2181500000000004e-03,-3.0673299999999998e-01,-2.7274999999999999e-01,2.8705600000000001e-02,3.2768199999999997e-01
4.0000000000000000e+00,7.4605184173449132e-03,-8.7184775821943089e-03,-8.5418670012705807e-03,-7.7090406419321640e-03,5.5403968228768738e-05,9.7673190421022904e-04,2.9221215191700678e-04,7.6704172893880661e-03,3.6107748740194720e-03,9.9986824046722784e-03,-5.1860180589252429e-03,2.0095345126002265e-03,-2.9058956597872070e-03,-2.8919719320222997e-04,-6.5726487249142818e-03,7.8205014848096738e-03,-2.1191882714644041e-03,2.8885293391696897e-03,3.3945411840000000e-01,2.7920724700000000e-02,4.7886800000000002e-01,-2.5153900000000000e+00,-4.9424099999999997e+00,-5.7870499999999998e+00,-6.1919000000000004e+00,-7.4612200000000000e+00,-1.0007899999999999e+01,-1.3393500000000000e+01,-1.5128299999999999e+01,4.5863699999999996e+00,4.2399500000000003e+00,4.3336899999999998e+00,6.6105099999999997e+00,1.1001200000000001e+01,1.4961300000000000e+01,1.4139300000000000e+01,9.6024200000000004e+00,1.1319900000000001e+01,4.4442700000000002e-01,8.2557699999999998e-02,-2.2835600000000000e-01,-3.0307600000000001e-01,-2.6639299999999999e-01,-2.6920600000000000e-01,-3.4282699999999999e-01,-4.4456800000000002e-01,-5.1263300000000001e-01,1.5734399999999999e+00,1.5043299999999999e+00,7.7564999999999995e-01,2.4525100000000001e-02,-4.1953099999999999e-01,-4.7128999999999999e-01,-1.7376300000000000e-01,2.2288900000000000e-01,4.3948399999999999e-01
5.0000000000000000e+00,4.5666658110139237e-04,3.5685008756792865e-03,-7.7963562036165272e-03,-5.5230875994095362e-03,3.3726295801244852e-03,-3.6925812548260425e-04,-4.6657962810807228e-03,-1.1768966898385372e-03,9.5332959909684208e-03,7.9593343256144037e-03,3.3014400410534897e-03,9.2434284160725442e-03,-7.4264201236541906e-03,-5.9476953114412767e-03,-9.0831408366966876e-04,-6.8226618283182324e-03,7.8971296323049837e-03,-7.7420023351549572e-03,1.4769772090000000e-01,4.2445615700000001e-02,-3.0274200000000002e+00,-4.3897100000000000e+00,-5.6511699999999996e+00,-6.3590900000000001e+00,-6.2918099999999999e+00,-6.1035599999999999e+00,-6.8390399999999998e+00,-8.6024999999999991e+00,-1.0405200000000001e+01,5.0001799999999996e-01,-4.1821599999999998e-01,8.0650800000000000e-01,4.3945100000000004e+00,8.7799300000000002e+00,1.0915200000000000e+01,8.7997399999999999e+00,6.2678399999999996e+00,7.4756999999999998e+00,3.9147900000000002e-01,2.3460900000000001e-01,-1.6092100000000001e-01,-4.5704800000000001e-01,-4.9021900000000002e-01,-3.8779000000000002e-01,-3.5212199999999999e-01,-3.1335299999999999e-01,-7.1955300000000000e-02,1.3730700000000000e+00,1.6180500000000000e+00,1.0446500000000001e+00,2.3675700000000000e-01,-2.8389100000000000e-01,-3.3573399999999998e-01,-7.2824200000000006e-02,1.9305200000000000e-01,3.2652199999999998e-01
6.0000000000000000e+00,7.1506308382202882e-03,5.5074101762921917e-03,-5.9707394877862863e-04,3.0197783341906950e-03,-6.2717855715900099e-03,9.0120579160701247e-03,-7.2236459102229507e-03,-9.8268964244439330e-03,6.2577909454676010e-03,3.1521305188568598e-03,-9.8222634475247459e-03,-8.0100676687205538e-04,-6.5394909702077425e-04,5.6397100263886422e-03,-3.1210695147259118e-03,-9.0554475291887530e-03,-7.5175531931561627e-03,8.5489109078527737e-03,2.1419731289999999e-01,1.7623718699999999e-02,-2.9338500000000001e+00,-3.6722800000000002e+00,-4.3253199999999996e+00,-5.3200700000000003e+00,-6.2719399999999998e+00,-6.2766700000000002e+00,-5.4806600000000003e+00,-6.0530400000000002e+00,-9.4081799999999998e+00,2.6764000000000001e+00,-1.0459200000000000e-01,-1.0683900000000000e+00,-2.1604200000000001e-01,2.2253699999999998e+00,5.6390399999999996e+00,7.5245199999999999e+00,6.6649200000000004e+00,8.1046099999999992e+00,5.2986200000000006e-01,7.7467500000000000e-01,5.3065200000000001e-01,-4.1016100000000000e-02,-5.2375700000000003e-01,-5.8449899999999999e-01,-3.4448099999999998e-01,-2.4254500000000001e-01,-3.1471199999999999e-01,1.2068099999999999e+00,1.3121499999999999e+00,9.0365399999999996e-01,3.8376900000000003e-01,-5.7764099999999999e-02,-2.9056999999999999e-01,-1.9528799999999999e-01,1.0506000000000000e-01,3.5124000000000000e-01
7.0000000000000000e+00,9.1967390705487342e-03,7.7166010793385132e-03,-9.6515487579044192e-03,-8.9630099575355240e-03,-5.2229699230300838e-03,-8.2128943050197006e-03,6.3800095254059660e-03,-6.5257172581039847e-03,-6.5401333053024188e-03,-5.7489580713560948e-03,-9.5305063478274936e-03,6.1743940251332268e-03,1.5445997940876192e-03,3.3731734107477207e-03,8.4841532088943215e-03,-9.4085777993564053e-03,4.7492691811761942e-03,5.0464647608726848e-03,5.6329187599999997e-01,4.1112695400000003e-02,1.6347300000000001e-01,-1.2958000000000001e+00,-4.2306800000000004e+00,-6.4744000000000002e+00,-7.1358499999999996e+00,-7.3094500000000000e+00,-8.2675000000000001e+00,-9.8009599999999999e+00,-1.2203500000000000e+01,2.5710899999999999e+00,3.5758399999999999e+00,3.3853499999999999e+00,2.5700799999999999e+00,2.4948199999999998e+00,6.2174100000000001e+00,1.6978700000000000e+01,2.7377600000000001e+01,1.4484800000000000e+01,7.0373500000000000e-01,5.2371199999999996e-01,-2.5652899999999999e-02,-4.3060900000000002e-01,-4.8917899999999997e-01,-3.8669500000000001e-01,-3.5136099999999998e-01,-3.9129500000000000e-01,-4.9273899999999998e-01,5.8780100000000002e-02,1.0229699999999999e+00,1.9340100000000000e+00,2.1983700000000002e+00,1.6203799999999999e+00,6.4783800000000002e-01,3.2092800000000001e-03,2.3563700000000000e-02,4.1585100000000003e-01
8.0000000000000000e+00,-8.7247689208032522e-03,1.1308802175254186e-03,1.7505343320338013e-03,-6.6523681238128286e-03,3.6640884654441219e-03,-4.7804039915268276e-03,9.0693378326978605e-03,-2.4317386668955008e-03,-5.5915069094358404e-03,7.0660291643114392e-03,8.3380165100738739e-03,-6.7671522990858718e-03,-5.8556839834059890e-03,2.5430242343567697e-03,-3.6806070053222520e-03,1.0498753093737302e-04,-3.7956308767350504e-04,7.4407136554780918e-03,4.7626537279999998e-01,4.3872250500000001e-02,-2.7070300000000000e+00,-3.9863900000000001e+00,-5.0247599999999997e+00,-5.9533399999999999e+00,-6.9345400000000001e+00,-8.1169499999999992e+00,-9.4362700000000004e+00,-1.0440500000000000e+01,-1.2036899999999999e+01,2.8489499999999999e+00,1.8054800000000000e+00,1.5804000000000000e+00,3.5705200000000001e+00,8.0314999999999994e+00,1.3706500000000000e+01,1.6398900000000001e+01,1.1952600000000000e+01,1.1192399999999999e+01,8.5481900000000006e-03,-4.9854799999999998e-02,-1.2468100000000000e-01,-2.0574400000000001e-01,-2.9196899999999998e-01,-3.8527299999999998e-01,-4.8315500000000000e-01,-5.6989400000000001e-01,-7.1302299999999996e-01,1.6983400000000000e+00,1.6426799999999999e+00,8.9871999999999996e-01,1.5995000000000001e-01,-2.3050399999999999e-01,-2.4021200000000001e-01,2.9473599999999999e-02,3.8017899999999999e-01,7.0134399999999997e-01
9.0000000000000000e+00,6.0016626829022274e-03,8.2282664545419350e-03,7.7974526265721846e-03,1.1216636051270129e-03,-1.2285701199446671e-04,1.0364575230706417e-03,4.1745222673192188e-04,-5.2634765132869446e-03,1.8493899949263964e-03,3.6486212082042155e-03,8.7824671183347070e-03,-7.3059603359907780e-03,3.8863351612481740e-03,-5.7540743483859326e-03,-6.1679205603042625e-03,-5.4538969871986594e-03,-5.1149365768393311e-03,2.3994941068397665e-03,9.3830029400000001e-02,5.6044063099999999e-02,-3.0565500000000001e+00,-2.9620600000000001e+00,-2.6282700000000001e+00,-3.4549599999999998e+00,-5.9919000000000002e+00,-8.8795500000000001e+00,-9.1446600000000000e+00,-7.2214999999999998e+00,-9.2028199999999991e+00,1.0649000000000000e+00,-3.7008200000000002e-01,1.7716199999999999e-01,3.1219600000000001e+00,7.2867800000000003e+00,9.9412599999999998e+00,8.5342000000000002e+00,6.1310500000000001e+00,8.1666399999999992e+00,8.4970900000000005e-01,1.5078600000000000e+00,1.4931000000000001e+00,7.8809200000000001e-01,-1.7534600000000000e-01,-7.9171599999999998e-01,-7.1055900000000005e-01,-2.7094600000000002e-01,-1.8589200000000000e-01,1.6608000000000001e+00,1.8203199999999999e+00,1.0833200000000001e+00,1.5084100000000000e-01,-4.7273599999999999e-01,-6.0529500000000003e-01,-3.2740500000000000e-01,5.9040000000000004e-03,1.5419200000000000e-01
1.0000000000000000e+01,-3.0065370478529196e-03,5.5220628597235262e-03,4.0593556261059836e-04,-6.2815925411040703e-03,-1.9765817813314560e-03,7.5394075221887884e-03,-3.5698462635663959e-04,-4.7557878453436684e-03,-3.5137808586752839e-03,6.0033551026298145e-03,5.4855909592538901e-03,7.4616910824769848e-03,-8.1515077501681486e-03,4.7370405316698450e-03,-2.1952267016360546e-03,-6.3716684965590895e-03,-9.6515131379434384e-04,9.9442325447812556e-04,3.2701395490000001e-01,4.8821061399999997e-02,-2.9268700000000001e+00,-4.0839800000000004e+00,-5.1288400000000003e+00,-6.0358099999999997e+00,-6.5848599999999999e+00,-6.8345399999999996e+00,-7.1677499999999998e+00,-7.8146500000000003e+00,-1.0006800000000000e+01,1.8197600000000000e+00,-7.2186200000000006e-02,-9.8965899999999996e-01,4.4130900000000001e-01,4.3798000000000004e+00,9.3350500000000007e+00,1.1338600000000000e+01,7.8600899999999996e+00,7.4821600000000004e+00,2.5130400000000003e-01,2.6377000000000000e-01,2.4160399999999999e-02,-2.9765500000000000e-01,-4.7560200000000002e-01,-4.6701300000000001e-01,-4.3806000000000000e-01,-4.8636600000000002e-01,-6.5683700000000000e-01,1.4022300000000001e+00,1.7891999999999999e+00,1.3209000000000000e+00,5.2949599999999997e-01,-6.6452399999999995e-02,-2.4688599999999999e-01,-7.7516799999999997e-02,2.1702500000000000e-01,4.6795100000000001e-01
